student_id,age,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,exercise_frequency,mental_health_rating,previous_gpa,semester,stress_level,dropout_risk,social_activity,screen_time,parental_support_level,motivation_level,exam_anxiety_score,time_management_score,exam_score,study_to_social_ratio,work_life_balance,academic_engagement,stress_support_ratio,total_distractions,sleep_deficit,study_efficiency,habit_cluster,gender_Male,gender_Other,major_Biology,major_Business,major_Computer Science,major_Engineering,major_Psychology,part_time_job_Yes,diet_quality_Good,diet_quality_Poor,parental_education_level_High School,parental_education_level_Master,parental_education_level_PhD,parental_education_level_Some College,internet_quality_Low,internet_quality_Medium,extracurricular_participation_Yes,study_environment_Co-Learning Group,study_environment_Dorm,study_environment_Library,study_environment_Quiet Room,access_to_tutoring_Yes,family_income_range_Low,family_income_range_Medium,learning_style_Kinesthetic,learning_style_Reading,learning_style_Visual
100000,26,7.64536653374835,3.0,0.1,70.3,6.2,3,6.0,4.0,5,5.8,No,0,10.9,9,7,8,3.0,100,1.9113416334370874,16.84536653374835,2.109,0.58,3.1,1.7999999999999998,22.936099601245047,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
100001,28,5.7,0.5,0.4,88.4,7.2,4,6.8,4.0,7,5.8,No,5,8.3,7,2,10,6.0,99,3.8000000000000003,16.9,5.304000000000001,0.725,0.9,0.7999999999999998,34.2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0
100002,17,2.4,4.2,0.7,82.1,9.2,4,5.7,3.79,4,8.0,No,5,8.0,3,9,6,7.6,98,0.4615384615384615,15.6,6.239599999999999,2.0,4.9,-1.1999999999999993,18.24,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
100003,27,3.4,4.6,2.3,79.3,4.2,3,8.5,4.0,6,4.6,No,3,11.7,5,3,10,3.2,100,0.6071428571428572,10.6,2.5376,0.7666666666666666,6.8999999999999995,3.8,10.88,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0
100004,25,4.7,0.8,2.7,62.9,6.5,6,9.2,4.0,4,5.7,No,2,9.4,9,1,10,7.1,98,2.611111111111111,17.2,4.4658999999999995,0.5700000000000001,3.5,1.5,33.37,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
100005,17,4.2,0.5,2.5,49.2,9.2,3,9.2,4.0,3,1.5,No,2,8.9,1,10,5,3.9,94,2.8000000000000003,16.4,1.9188,0.75,3.0,-1.1999999999999993,16.38,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
100006,19,4.1,2.4,2.2,97.9,8.5,6,5.8,4.0,2,2.5,No,3,9.2,5,7,8,10.0,97,1.2058823529411764,18.6,9.79,0.4166666666666667,4.6,-0.5,41.0,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
100007,17,4.1,3.2,0.9,44.3,7.4,5,4.8,3.3,2,5.3,Yes,3,10.0,9,3,10,7.5,84,0.976190476190476,16.5,3.3225,0.53,4.1000000000000005,0.5999999999999996,30.749999999999996,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0
100008,28,0.6,0.3,2.6,64.2,7.6,0,3.5,2.61,2,4.0,No,3,4.8,4,4,10,5.8,70,0.4615384615384615,8.2,3.7236000000000002,0.8,2.9,0.40000000000000036,3.48,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
100009,19,5.2,1.1,1.6,40.1,7.2,6,5.9,3.78,2,3.3,No,1,8.0,7,9,6,7.0,100,2.4761904761904763,18.4,2.807,0.4125,2.7,0.7999999999999998,36.4,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
100010,16,0.0,2.7,0.2,44.1,6.9,2,7.8,4.0,1,3.7,No,3,3.9,2,10,5,3.2,100,0.0,8.9,1.4112,1.2333333333333334,2.9000000000000004,1.0999999999999996,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1
100011,26,3.9,3.2,1.8,40.6,8.1,1,4.0,4.0,6,2.0,Yes,0,10.8,2,9,6,2.9,100,0.9285714285714285,13.0,1.1774,0.6666666666666666,5.0,-0.09999999999999964,11.309999999999999,2,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0
100012,19,4.7,3.3,3.8,93.4,7.4,1,5.6,4.0,3,3.8,No,2,12.1,5,10,5,2.9,96,1.0930232558139537,13.100000000000001,2.7086,0.6333333333333333,7.1,0.5999999999999996,13.63,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
100013,24,7.4,3.2,1.0,73.7,5.9,6,8.1,3.31,1,5.9,No,2,13.1,1,6,9,6.2,83,1.7619047619047619,19.3,4.569400000000001,2.95,4.2,2.0999999999999996,45.88,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
100014,21,5.5,3.1,0.6,98.6,8.0,2,7.300000000000001,3.21,4,7.5,No,5,11.1,3,6,9,8.0,77,1.3414634146341464,15.5,7.888,1.875,3.7,0.0,44.0,2,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
100015,17,3.52759548740777,0.1,0.8,98.0,8.0,1,10.0,3.14,8,4.7,No,2,5.1,9,6,9,9.5,87,3.206904988552518,12.527595487407769,9.31,0.47000000000000003,0.9,0.0,33.512157130373815,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0
100016,16,5.0,4.5,0.8,40.1,9.7,6,9.9,4.0,7,5.9,No,0,10.4,4,6,9,4.9,100,0.9090909090909091,20.7,1.9649,1.1800000000000002,5.3,-1.6999999999999993,24.5,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
100017,27,3.7,2.1,3.8,76.9,8.8,2,5.8,3.6,5,4.9,No,3,11.0,5,5,10,2.9,93,1.1935483870967742,14.5,2.2301,0.8166666666666668,5.9,-0.8000000000000007,10.73,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
100018,26,2.6,0.5,3.8,53.5,9.1,4,9.6,3.77,8,6.2,No,5,7.4,4,8,7,6.5,88,1.7333333333333334,15.7,3.4775,1.24,4.3,-1.0999999999999996,16.900000000000002,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
100019,25,3.9,3.8,3.1,53.1,5.4,6,7.9,3.7,7,2.4,No,3,11.0,1,9,6,3.2,92,0.8125,15.3,1.6992000000000003,1.2,6.9,2.5999999999999996,12.48,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0
100020,26,3.9,1.3,1.0,77.6,6.4,7,8.1,2.65,6,5.0,No,1,7.5,5,4,10,3.4,60,1.6956521739130437,17.3,2.6384,0.8333333333333334,2.3,1.5999999999999996,13.26,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
100021,22,2.0,1.0,1.7,91.4,5.2,0,6.4,3.33,4,4.9,No,5,6.5,1,6,9,3.7,82,1.0,7.2,3.3818000000000006,2.45,2.7,2.8,7.4,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
100022,24,5.8,3.4,1.6,95.2,7.8,7,7.3,4.0,8,6.8,No,1,11.1,7,10,5,6.1,100,1.3181818181818181,20.6,5.8072,0.85,5.0,0.20000000000000018,35.379999999999995,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1
100023,23,3.279126215564136,3.8,3.3,68.2,6.5,1,9.3,4.0,5,6.1,No,1,10.9,4,2,10,8.0,100,0.683151294909195,10.779126215564137,5.456,1.22,7.1,1.5,26.23300972451309,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1
100024,16,6.1,1.3,1.5,86.7,5.2,1,1.7999999999999998,3.27,4,9.5,No,5,10.1,10,1,10,9.4,80,2.6521739130434785,12.3,8.1498,0.8636363636363636,2.8,2.8,57.339999999999996,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
100025,19,4.4,2.1,1.5,40.8,7.7,5,7.4,3.76,4,6.6,No,5,9.0,7,6,9,6.7,89,1.4193548387096775,17.1,2.7336,0.825,3.6,0.2999999999999998,29.480000000000004,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
100026,24,6.2,0.4,3.5,74.2,4.0,7,10.0,4.0,8,3.8,No,2,10.6,8,6,9,2.6,92,4.428571428571429,17.2,1.9292000000000002,0.4222222222222222,3.9,4.0,16.12,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
100027,20,3.6,3.8,2.8,66.9,7.8,7,8.7,3.75,5,7.1,Yes,4,11.5,7,4,10,3.8,88,0.75,18.4,2.5422,0.8875,6.6,0.20000000000000018,13.68,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0
100028,21,4.0,1.0,0.5,51.5,7.7,2,4.7,3.68,6,5.3,No,2,6.6,10,9,6,6.4,95,2.0,13.7,3.2960000000000003,0.4818181818181818,1.5,0.2999999999999998,25.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
100029,18,3.837869655105928,3.8,0.4,68.2,5.8,4,4.5,4.0,3,3.9,Yes,4,8.1,5,8,7,2.0,100,0.7995561781470684,13.637869655105927,1.364,0.65,4.2,2.2,7.675739310211856,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0
100030,26,7.606317651242962,4.0,0.9,94.5,6.8,7,5.1,4.0,3,7.8,No,1,13.6,5,10,5,6.6,100,1.5212635302485924,21.40631765124296,6.236999999999999,1.3,4.9,1.2000000000000002,50.201696498203546,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1
100031,26,4.1,2.3,2.4,57.3,6.8,3,5.2,3.73,2,4.3,No,4,9.4,4,5,10,8.1,93,1.2424242424242424,13.899999999999999,4.641299999999999,0.86,4.699999999999999,1.2000000000000002,33.209999999999994,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
100032,19,4.7,4.1,3.7,81.3,7.1,7,6.6,4.0,5,4.3,No,5,13.4,9,8,7,4.9,94,0.9215686274509804,18.8,3.9837000000000002,0.43,7.8,0.9000000000000004,23.03,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
100033,21,5.1,3.8,0.7,95.0,5.3,7,5.4,3.28,1,6.9,No,0,10.6,8,2,10,5.2,76,1.0625,17.4,4.94,0.7666666666666667,4.5,2.7,26.52,2,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
100034,18,5.3,0.6,3.1,79.5,7.5,0,6.7,4.0,8,3.9,No,1,10.7,4,9,6,4.3,100,3.3124999999999996,12.8,3.4185,0.78,3.7,0.5,22.79,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
100035,20,6.7,1.2,0.6,45.6,6.3,6,7.8,3.59,5,5.1,No,3,9.6,2,3,10,5.5,89,3.0454545454545454,19.0,2.508,1.7,1.7999999999999998,1.7000000000000002,36.85,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
100036,23,3.4,2.1,3.7,57.0,6.4,0,8.8,3.08,3,5.9,No,4,10.2,8,3,10,5.0,86,1.096774193548387,9.8,2.85,0.6555555555555556,5.800000000000001,1.5999999999999996,17.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
100037,22,7.2,3.5,3.2,69.7,7.9,2,4.5,4.0,4,3.3,Yes,3,14.7,6,2,10,8.9,100,1.6,17.1,6.2033000000000005,0.4714285714285714,6.7,0.09999999999999964,64.08,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
100038,16,2.4,3.2,3.4,97.2,9.4,6,9.8,4.0,7,2.4,No,3,10.7,1,10,5,1.6,100,0.5714285714285714,17.8,1.5552000000000001,1.2,6.6,-1.4000000000000004,3.84,2,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
100039,17,7.4,1.5,1.5,74.0,7.4,6,3.8,4.0,2,7.9,No,4,10.7,2,10,5,8.8,100,2.96,20.8,6.5120000000000005,2.6333333333333333,3.0,0.5999999999999996,65.12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
100040,18,6.4,0.8,1.8,78.3,8.9,4,5.0,3.36,5,8.4,No,4,9.7,5,4,10,10.0,80,3.555555555555556,19.3,7.83,1.4000000000000001,2.6,-0.9000000000000004,64.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
100041,21,1.2,3.7,0.2,90.0,6.8,7,8.1,3.75,5,5.6,No,5,6.3,6,4,10,6.7,91,0.2553191489361702,15.0,6.03,0.7999999999999999,3.9000000000000004,1.2000000000000002,8.04,2,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
100042,28,5.9,0.7,3.6,50.5,6.9,6,7.3,4.0,3,6.0,No,3,10.9,9,9,6,9.2,100,3.4705882352941178,18.8,4.646,0.6,4.3,1.0999999999999996,54.28,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0
100043,28,4.0,3.4,2.7,45.4,4.4,5,8.5,4.0,6,5.4,No,2,10.9,2,8,7,4.3,96,0.9090909090909091,13.4,1.9522,1.8,6.1,3.5999999999999996,17.2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
